------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is </mnt/d/rand_python.bin>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 44  71  51  66  70  47  51  68  50  53  0.047628    570/571     RandomExcursions
 60  61  57  50  64  61  58  52  59  49  0.905545    564/571     RandomExcursions
 69  65  49  69  50  55  59  54  47  54  0.321491    564/571     RandomExcursions
 60  56  50  56  64  55  75  52  52  51  0.421240    563/571     RandomExcursions
 60  65  52  53  69  61  58  53  55  51  0.759067    575/577     RandomExcursionsVariant
 62  60  51  60  57  62  58  67  45  55  0.720459    576/577     RandomExcursionsVariant
 54  58  57  49  59  66  66  57  53  58  0.874859    574/577     RandomExcursionsVariant
 55  57  58  50  66  59  63  56  50  63  0.869361    575/577     RandomExcursionsVariant
 55  63  54  43  68  63  49  58  70  54  0.254683    576/577     RandomExcursionsVariant
 57  52  69  47  60  51  49  74  55  63  0.191505    573/577     RandomExcursionsVariant
 55  55  66  54  58  61  64  58  55  51  0.935911    574/577     RandomExcursionsVariant
 46  63  67  60  62  63  58  49  58  51  0.582493    574/577     RandomExcursionsVariant
 53  65  54  58  66  54  56  48  60  63  0.799449    573/577     RandomExcursionsVariant
 56  68  57  56  54  52  66  59  47  62  0.695345    575/577     RandomExcursionsVariant
 52  53  65  56  58  59  69  53  52  60  0.802712    575/577     RandomExcursionsVariant
 52  44  64  59  59  53  65  65  50  66  0.418072    573/577     RandomExcursionsVariant
 52  35  55  69  55  71  50  76  60  54  0.007306    574/577     RandomExcursionsVariant
 47  37  68  60  63  59  63  57  58  65  0.140201    573/577     RandomExcursionsVariant
 47  49  67  50  53  71  62  65  57  56  0.290416    572/577     RandomExcursionsVariant
 47  66  50  64  67  62  48  56  60  57  0.466920    574/577     RandomExcursionsVariant
 46  71  64  59  59  63  67  44  53  51  0.170707    573/577     RandomExcursionsVariant
 51  62  67  65  51  62  64  46  53  56  0.504392    575/577     RandomExcursionsVariant
486 486 490 513 477 527 530 474 514 503  0.595549   4951/5000    Serial
504 456 530 522 479 475 533 517 485 499  0.212634   4945/5000    Serial
522 466 491 506 456 485 519 541 519 495  0.177045   4933/5000    LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 4928 for a
sample size = 5000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 564 for a sample size = 577 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
